Title,Brand,Price,Prime,URL
SHEGLAM 2 In 1 Black Volume and Length Waterproof Mascara Long Lasting Dual-Ended Tubing Eye Makeup,SHEGLAM,$8.49,yes,https://www.amazon.com/SHEGLAM-All-In-One-Volume-Length-Mascara/dp/B0BDQXZG41/ref=sr_1_203?qid=1689463122&s=beauty&sr=1-203
"KISS Looks So Natural False Eyelashes Multipack, Lightweight & Comfortable, Tapered End Technology, Reusable, Cruelty-Free, Contact Lens Friendly, Style 'Shy', 5 Pairs Fake Eyelashes",KISS,$8.99,yes,https://www.amazon.com/KISS-Lightweight-Comfortable-Natural-Looking-Cruelty-Free/dp/B079B8BFR3/ref=sr_1_204?qid=1689463122&s=beauty&sr=1-204
"Peripera Ink the Velvet Lip Tint, High Pigment Color, Longwear, Weightless, Not Animal Tested, Gluten-Free, Paraben-Free (040 CALM ROSY)",Peripera,$9.90,yes,https://www.amazon.com/Peripera-Longwear-Weightless-Gluten-Free-Paraben-Free/dp/B0BZYDJ6C1/ref=sr_1_197?qid=1689463125&s=beauty&sr=1-197
False Eyelashes Russian Strip Lashes D Curl Wispy Natural Look Faux Mink Lashes Like Eyelash Extension Fluffy zanlufly Transparent Band Cat Eye Fake Eyelashes Pack,zanlufly,$9.99,yes,https://www.amazon.com/Eyelashes-Russian-Extension-zanlufly-Transparent/dp/B09QHLBF4R/ref=sr_1_198?qid=1689463125&s=beauty&sr=1-198
"Peripera Ink the Velvet Lip Tint, Liquid Lip (0.14 fl oz, 018 STAR PLUM PINK)",Peripera,$9.90,yes,https://www.amazon.com/Peripera-Velvet-Tint-Liquid-0-14/dp/B0962JPXVZ/ref=sr_1_199?qid=1689463125&s=beauty&sr=1-199
"e.l.f, Hydrating Camo Concealer, Lightweight, Full Coverage, Long Lasting, Conceals, Corrects, Covers, Hydrates, Highlights, Light Sand, Satin Finish, 25 Shades, All-Day Wear, 0.20 Fl Oz",None,$7.00,yes,https://www.amazon.com/l-f-Cosmetics-Hydrating-Concealer-Full-coverage/dp/B07ZR14WBZ/ref=sr_1_200?qid=1689463125&s=beauty&sr=1-200
LONDONTOWN Illuminating Nail Concealer,LONDONTOWN,$20.00,yes,https://www.amazon.com/LONDONTOWN-Illuminating-Concealer-Cruelty-Paraben/dp/B09FBD5G9V/ref=sr_1_201?qid=1689463125&s=beauty&sr=1-201
"Maybelline New York Fit Me Matte + Poreless Pressed Face Powder Makeup & Setting Powder, Translucent, 1 Count",Maybelline New York,$6.94,yes,https://www.amazon.com/Maybelline-New-York-Poreless-Translucent/dp/B00PFCSNWA/ref=sr_1_202?qid=1689463125&s=beauty&sr=1-202
"e.l.f, Halo Glow Setting Powder, Silky, Weightless, Blurring, Smooths, Minimizes Pores and Fine Lines, Creates Soft Focus Effect, Light, Semi-Matte Finish, 0.24 Oz",e.l.f.,$8.00,yes,https://www.amazon.com/Setting-Weightless-Blurring-Minimizes-Semi-Matte/dp/B07ZR111LV/ref=sr_1_203?qid=1689463125&s=beauty&sr=1-203
"Rimmel Powder Natural Bronzer, Sun Bronze (34788724022)",Rimmel,$3.97,yes,https://www.amazon.com/Rimmel-Natural-Bronzer-Sun-Bronze/dp/B001B0H82Q/ref=sr_1_204?qid=1689463125&s=beauty&sr=1-204
"Maybelline New York TattooStudio Long-Lasting Sharpenable Eyeliner Pencil, Glide on Smooth Gel Pigments with 36 Hour Wear, Waterproof, Deep Onyx, 1 Count",Maybelline New York,$6.30,yes,https://www.amazon.com/Maybelline-New-York-Tattoostudio-Waterproof/dp/B07GX832KD/ref=sr_1_205?qid=1689463125&s=beauty&sr=1-205
"Mascara by Revlon, So Fierce Big Bad Lash Eye Makeup, Volumizing, Lasts up to 24 Hours, No Clump, Smudge Proof, Flake Proof, Blackest Black (760), 0.34 Fl Oz",REVLON,$8.42,yes,https://www.amazon.com/REVLON-Fierce-Mascara-fluid_ounces-Blackest/dp/B08NSVTL6C/ref=sr_1_206?qid=1689463125&s=beauty&sr=1-206
